candidate_id,rank,score,name,title,company,location,years_exp,open_to_work,last_active,response_rate,notice_period,github_score,profile_completeness,skills_count,top_skills,willing_to_relocate,interview_completion,salary_min,salary_max,reasoning,verified_email,verified_phone,headline,summary
CAND_0046132,1,0.7876,Ishaan Pillai,AI Research Engineer,Verloop.io,"Noida, Uttar Pradesh",4.3,True,2026-05-26,0.94,30,-1.0,95.2,14,"Kubeflow, Data Science, OpenCV, Information Retrieval, GANs",False,0.74,31.3,43.7,AI Research Engineer | 4.3 yrs exp | 7 AI skills matched | strong semantic match | open to work | active this month | response rate 94%,True,True,AI Research Engineer | Data Science & ML enthusiast,"Data scientist / ML engineer with 4.3 years of experience in applied machine learning. Worked across predictive modeling, NLP, analytics, and lightweight deployment workflows. I've been working on recommendation-style features but lighter on the deep-learning side — mostly classical methods like collaborative filtering and gradient-boosted models. I'm strongest at the modeling and analysis side; comfortable with Python, scikit-learn, pandas, and standard MLOps tooling, but I'm still building depth on the engineering and infra side of production ML. Looking for a role where I can step up to more end-to-end ownership of ML systems, not just modeling."
CAND_0018499,2,0.7825,Aarav Trivedi,Senior Machine Learning Engineer,Zomato,"Noida, Uttar Pradesh",7.2,True,2026-05-13,0.61,15,94.8,98.0,17,"Deep Learning, Weaviate, Recommendation Systems, scikit-learn, Diffusion Models",True,0.8,36.8,56.6,Senior Machine Learning Engineer | 7.2 yrs exp | 10 AI skills matched | strong semantic match | open to work | active this month | response rate 61%,True,True,Senior Machine Learning Engineer | Building AI-native search & ranking systems,"Senior AI engineer with 7.2 years of hands-on experience building production ML systems, with a focus on search, retrieval, and ranking. Most recently, I designed the company's first hybrid retrieval system combining BM25 with dense vector recall, serving 50M+ queries per month. My day-to-day work spans embedding model selection and fine-tuning, hybrid retrieval architecture, learning-to-rank, behavioral-signal integration, and the offline/online evaluation that ties it all together. I've shipped systems in both early-stage product companies and at larger scale, and I've spent enough time on both that I know which tradeoffs apply where. I have strong opinions about when LLMs are the right hammer and when classical IR is — usually it's both. Currently exploring my next move — looking for senior IC or tech-lead roles where I can own the intelligence layer end-to-end."
CAND_0039754,3,0.7767,Mira Banerjee,Senior Applied Scientist,Meta,"Indore, Madhya Pradesh",16.2,True,2026-05-14,0.81,30,77.5,67.1,20,"Fine-tuning LLMs, LlamaIndex, Qdrant, Reinforcement Learning, NLP",True,0.98,30.1,62.1,Senior Applied Scientist | 16.2 yrs exp | 13 AI skills matched | strong semantic match | open to work | active this month | response rate 81%,True,True,Senior Applied Scientist | Building AI-native search & ranking systems,"Senior AI engineer with 8.3 years of hands-on experience building production ML systems, with a focus on search, retrieval, and ranking. Most recently, I rebuilt the candidate-JD matching pipeline from scratch, taking it from 0.72 to 0.91 NDCG@10, serving 50M+ queries per month. My day-to-day work spans embedding model selection and fine-tuning, hybrid retrieval architecture, learning-to-rank, behavioral-signal integration, and the offline/online evaluation that ties it all together. I've shipped systems in both early-stage product companies and at larger scale, and I've spent enough time on both that I know which tradeoffs apply where. I believe most ranking problems are solved by careful feature engineering and rigorous eval, not by bigger models. Currently exploring my next move — looking for senior IC or tech-lead roles where I can own the intelligence layer end-to-end."
CAND_0046525,4,0.766,Tanvi Mukherjee,Senior Machine Learning Engineer,Genpact AI,"Pune, Maharashtra",6.1,True,2026-05-23,0.88,60,36.7,62.8,17,"Elasticsearch, Redux, LangChain, Machine Learning, LlamaIndex",True,0.81,28.4,51.9,Senior Machine Learning Engineer | 6.1 yrs exp | 11 AI skills matched | strong semantic match | open to work | active this month | response rate 88%,True,True,Senior Machine Learning Engineer | Building AI-native search & ranking systems,"Senior AI engineer with 6.1 years of hands-on experience building production ML systems, with a focus on search, retrieval, and ranking. Most recently, I designed the company's first hybrid retrieval system combining BM25 with dense vector recall, handling peak QPS of 8K with sub-200ms p95. My day-to-day work spans embedding model selection and fine-tuning, hybrid retrieval architecture, learning-to-rank, behavioral-signal integration, and the offline/online evaluation that ties it all together. I've shipped systems in both early-stage product companies and at larger scale, and I've spent enough time on both that I know which tradeoffs apply where. I care more about shipping a working system in 6 weeks than a theoretically perfect one in 6 months. Currently exploring my next move — looking for senior IC or tech-lead roles where I can own the intelligence layer end-to-end."
CAND_0040887,5,0.7626,Meera Kumar,Machine Learning Engineer,Netflix,Toronto,4.7,True,2026-05-24,0.84,15,34.2,93.1,12,"Reinforcement Learning, Computer Vision, SEO, FAISS, MLflow",False,0.8,23.8,52.6,Machine Learning Engineer | 4.7 yrs exp | 6 AI skills matched | strong semantic match | open to work | active this month | response rate 84%,True,True,"Machine Learning Engineer | Search, Ranking & Retrieval","Machine learning engineer with 4.7 years of experience building ML-powered features in production. Strong background in NLP, recommendation systems, and applied AI; comfortable across the ML stack from feature engineering through deployment. Recently, I've been the de-facto ML lead on a small team, shipping models across NLP and recsys. I've spent enough time debugging production ranking issues to know which signals matter and which are noise. My academic background is in CS/ML but my main learning has come from shipping real systems and seeing what holds up under production load. Open to senior IC roles in applied ML or AI engineering, ideally at product companies where I'd own a meaningful piece of the ML stack."
CAND_0008295,6,0.762,Om Mehta,AI Research Engineer,Razorpay,"Pune, Maharashtra",6.5,True,2026-05-26,0.89,45,50.7,87.0,13,"BM25, Kubernetes, Python, PEFT, Computer Vision",True,0.9,16.2,47.5,AI Research Engineer | 6.5 yrs exp | 3 AI skills matched | strong semantic match | open to work | active this month | response rate 89%,True,False,AI Research Engineer | Building ML-powered solutions,"Data scientist / ML engineer with 6.5 years of experience in applied machine learning. Worked across predictive modeling, NLP, analytics, and lightweight deployment workflows. I've been working on recommendation-style features but lighter on the deep-learning side — mostly classical methods like collaborative filtering and gradient-boosted models. I'm strongest at the modeling and analysis side; comfortable with Python, scikit-learn, pandas, and standard MLOps tooling, but I'm still building depth on the engineering and infra side of production ML. I'm looking to grow into a deeper AI/ML system-building role — closer to retrieval, LLMs, and modern ranking systems."
CAND_0033179,7,0.7611,Yash Subramanian,AI Research Engineer,Wipro,"Ahmedabad, Gujarat",6.9,True,2026-05-22,0.84,30,-1.0,92.2,16,"FastAPI, Weights & Biases, Hugging Face Transformers, OpenSearch, Diffusion Models",True,0.66,19.2,34.6,AI Research Engineer | 6.9 yrs exp | 12 AI skills matched | strong semantic match | open to work | active this month | response rate 84%,True,False,AI Research Engineer | 6.9 yrs in analytics & ML,"Data scientist / ML engineer with 6.9 years of experience in applied machine learning. Worked across predictive modeling, NLP, analytics, and lightweight deployment workflows. I've been working on recommendation-style features but lighter on the deep-learning side — mostly classical methods like collaborative filtering and gradient-boosted models. I'm strongest at the modeling and analysis side; comfortable with Python, scikit-learn, pandas, and standard MLOps tooling, but I'm still building depth on the engineering and infra side of production ML. I'm looking to grow into a deeper AI/ML system-building role — closer to retrieval, LLMs, and modern ranking systems."
CAND_0043860,8,0.7587,Pranav Sharma,Junior ML Engineer,Aganitha,"Bhubaneswar, Odisha",6.1,True,2026-05-26,0.81,30,-1.0,94.6,14,"pgvector, Feature Engineering, Object Detection, Semantic Search, Information Retrieval",True,0.94,16.5,32.1,Junior ML Engineer | 6.1 yrs exp | 7 AI skills matched | strong semantic match | open to work | active this month | response rate 81%,True,True,Junior ML Engineer | 6.1 yrs in analytics & ML,"Data scientist / ML engineer with 6.1 years of experience in applied machine learning. Worked across predictive modeling, NLP, analytics, and lightweight deployment workflows. I've spent the last couple of years building NLP-based classification and information extraction pipelines. I'm strongest at the modeling and analysis side; comfortable with Python, scikit-learn, pandas, and standard MLOps tooling, but I'm still building depth on the engineering and infra side of production ML. I want to grow into senior AI engineering — get serious about LLMs and retrieval beyond the surface level."
CAND_0043637,9,0.748,Ela Menon,Junior ML Engineer,Rephrase.ai,"Delhi, Delhi",5.5,True,2026-05-24,0.92,45,-1.0,97.5,14,"PyTorch, Feature Engineering, Milvus, Redis, HTML",False,0.97,20.0,48.1,Junior ML Engineer | 5.5 yrs exp | 5 AI skills matched | moderate semantic match | open to work | active this month | response rate 92%,True,True,Junior ML Engineer | Data Science & ML enthusiast,"Data scientist / ML engineer with 5.5 years of experience in applied machine learning. Worked across predictive modeling, NLP, analytics, and lightweight deployment workflows. I've spent the last couple of years building NLP-based classification and information extraction pipelines. I'm strongest at the modeling and analysis side; comfortable with Python, scikit-learn, pandas, and standard MLOps tooling, but I'm still building depth on the engineering and infra side of production ML. I want to grow into senior AI engineering — get serious about LLMs and retrieval beyond the surface level."
CAND_0077337,10,0.7468,Aarav Agarwal,Staff Machine Learning Engineer,Paytm,"Kochi, Kerala",7.0,True,2026-05-26,0.95,60,68.0,64.6,20,"GANs, Semantic Search, QLoRA, pgvector, Pinecone",True,0.73,46.0,51.3,Staff Machine Learning Engineer | 7.0 yrs exp | 12 AI skills matched | strong semantic match | open to work | active this month | response rate 95%,True,True,Staff Machine Learning Engineer | Building AI-native search & ranking systems,"Senior AI engineer with 7.0 years of hands-on experience building production ML systems, with a focus on search, retrieval, and ranking. Most recently, I designed the company's first hybrid retrieval system combining BM25 with dense vector recall, serving 50M+ queries per month. My day-to-day work spans embedding model selection and fine-tuning, hybrid retrieval architecture, learning-to-rank, behavioral-signal integration, and the offline/online evaluation that ties it all together. I've shipped systems in both early-stage product companies and at larger scale, and I've spent enough time on both that I know which tradeoffs apply where. I care more about shipping a working system in 6 weeks than a theoretically perfect one in 6 months. Currently exploring my next move — looking for senior IC or tech-lead roles where I can own the intelligence layer end-to-end."
